id,longitude,latitude,state_name,state_abbrev,county_name,fips,bt23_scenario,resource_price,resource_type,resource,resource_amount,resource_units,data_source,data_source_url
91,-123.860551294114,41.5039528081156,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.0763316,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
92,-124.126706418911,41.9588087377424,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,13.603223,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
93,-123.914121147656,41.686041454107,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,6.907194,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
94,-124.10961353915701,41.850592317619096,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,14.30888,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
95,-123.965600398725,41.501233038752105,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,7.147224,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
96,-123.70579667017799,41.440753492220395,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,3.6146297,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
97,-123.747290488568,41.7434119502594,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,3.8169336,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
98,-123.79154190307399,41.8956418431958,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.7685704,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
99,-123.800659028028,41.644752653671105,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,4.56842,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
100,-123.961448730014,41.815182994006705,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,5.0915236,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
101,-124.04317076737301,41.4962444872771,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,2.0443068,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
102,-123.635992132519,41.922101091476605,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,0.90391064,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
103,-124.007864443289,41.7306766425642,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,1.7754122,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
104,-123.698508273423,41.4328539667506,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,58.04955,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
105,-123.723190535182,41.9040414980869,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,53.333515,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
106,-124.100079379053,41.799465403098395,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,53.28794,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
107,-123.82488592276,41.5732476017759,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,44.65901,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
108,-123.810423879047,41.4981567510105,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,39.077805,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
109,-123.973331345809,41.7816687202175,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,54.131588,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
110,-124.079555779074,41.9516385549924,CALIFORNIA,CA,Del Norte,06015,mature-market low,70.11,Small-diameter trees,Softwood natural small-diameter trees,52.712933,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
